Fold,Loss,AUC,Accuracy,Precision,Recall
1,0.13337598741054535,0.9899188280105591,0.948699951171875,0.915277361869812,0.9282414317131042
2,0.15026184916496277,0.9856738448143005,0.9400253295898438,0.9298955798149109,0.8823901414871216
3,0.15379691123962402,0.9853566288948059,0.942626953125,0.8812870979309082,0.9294221997261047
4,0.20635654032230377,0.986748218536377,0.9190940856933594,0.7952236533164978,0.9891051054000854
5,0.2329600751399994,0.9349219799041748,0.9194297790527344,0.8770267367362976,0.770988941192627
6,0.1738738715648651,0.9756895303726196,0.9477577209472656,0.9741780757904053,0.7000907063484192
7,0.20011134445667267,0.9927731156349182,0.9353485107421875,0.7341565489768982,0.9852696061134338
8,0.12956738471984863,0.9815585017204285,0.9556083679199219,0.8792480826377869,0.92081218957901
9,0.17858971655368805,0.979611873626709,0.9553604125976562,0.8821228742599487,0.8787403106689453
10,0.13649483025074005,0.9885633587837219,0.9579429626464844,0.8525725603103638,0.9306570887565613
11,0.1384700983762741,0.9900941848754883,0.9502182006835938,0.8279697895050049,0.9590427875518799
12,0.2684064507484436,0.9804655313491821,0.8910598754882812,0.9749483466148376,0.6683522462844849
13,0.08900034427642822,0.9896767139434814,0.9697341918945312,0.9076486825942993,0.9037736058235168
14,0.20020851492881775,0.9631287455558777,0.9594268798828125,0.8068416118621826,0.8241650462150574
15,0.23358163237571716,0.945345938205719,0.9234809875488281,0.7749708890914917,0.7823435664176941
16,0.3064579665660858,0.9742518067359924,0.9275169372558594,0.7037985324859619,0.9228733777999878
17,0.14073750376701355,0.9923021793365479,0.9484443664550781,0.7644402980804443,0.9667238593101501
18,0.12028896808624268,0.9880645275115967,0.9690666198730469,0.9801456928253174,0.8223084807395935
19,0.10444989800453186,0.9939848780632019,0.9804306030273438,0.8230236172676086,0.9236129522323608
